category,day_type,cat_day_avg,cat_day_median,cat_day_std,cat_day_q25,cat_day_q75,cat_day_q90,cat_day_count
Belanja & Lifestyle,weekday,349435.8653846154,228290.0,361853.58192109794,120650.0,446325.0,797120.0,416
Belanja & Lifestyle,weekend,386791.19161676645,247800.0,437929.25835930597,112000.0,465450.0,805664.0000000001,167
Elektronik,weekday,298720.0,118880.0,456873.2945497332,40480.0,169760.0,885408.0,34
Elektronik,weekend,552941.1764705882,169760.0,783609.6454380391,40480.0,1120000.0,1672064.0000000002,17
Hiburan & Gaya Hidup,weekday,168568.1894150418,105700.0,204579.39142922143,54700.0,191840.0,380471.99999999994,359
Hiburan & Gaya Hidup,weekend,197910.9019607843,125900.0,260275.9912760563,57800.0,202100.0,360320.0000000001,153
Hobi & Olahraga,weekday,884702.6086956522,1018080.0,558063.6897932105,320000.0,1280000.0,1436800.0,23
Hobi & Olahraga,weekend,758697.1428571428,350000.0,684798.2828365038,320000.0,1265040.0,1407104.0,14
Kebutuhan Dapur,weekday,221621.56166056165,112000.0,380616.1316254864,52800.0,195050.0,475064.00000000006,819
Kebutuhan Dapur,weekend,223241.22866894197,118400.0,321498.3438694729,52320.0,246400.0,484668.00000000006,293
Kebutuhan Rumah Tangga,weekday,452543.00970873784,140320.0,649751.5636324498,40755.0,601600.0,1310527.9999999998,103
Kebutuhan Rumah Tangga,weekend,396200.25641025644,174800.0,501310.1958368018,107065.0,436145.0,1346624.0000000007,39
Kecantikan & Perawatan,weekday,163319.6319018405,111800.0,160888.92029576725,72500.0,201200.0,291000.0,163
Kecantikan & Perawatan,weekend,138166.66666666666,106000.0,113283.04402917557,74350.0,186050.0,231420.0,63
Keluarga & Sosial,weekday,274533.49206349207,96000.0,461624.84972232283,80000.0,160000.0,842528.0,63
Keluarga & Sosial,weekend,204495.41666666666,155905.0,174302.40365972574,91250.0,220970.0,414047.99999999994,24
Kesehatan,weekday,169785.82222222222,115000.0,242952.70941467708,67500.0,166000.0,272000.0,225
Kesehatan,weekend,163316.86075949366,98600.0,269643.80162719765,58750.0,147000.0,244080.0000000001,79
Kopi & Minuman,weekday,111005.15688949522,102400.0,91041.73389456415,37400.0,131200.0,240000.0,733
Kopi & Minuman,weekend,120251.86274509804,107200.0,93494.29894698388,45950.0,144000.0,240000.0,408
Lainnya,weekday,526124.9158415842,240000.0,605664.0779919171,57360.0,879840.0,1439840.0,202
Lainnya,weekend,507586.2037037037,230000.0,623693.1647969419,135320.0,682000.0,1333760.0,108
Langganan Digital,weekday,103514.7131147541,55150.0,134833.0725093223,30632.5,135750.0,161842.00000000006,244
Langganan Digital,weekend,92756.88311688312,49300.0,141546.0779101144,29800.0,99100.0,154740.0000000001,77
Makanan & Minuman,weekday,266863.2039800995,120000.0,354038.42475716735,41920.0,362240.0,765664.0000000002,1809
Makanan & Minuman,weekend,286841.4929797192,109600.0,388012.3373464073,33100.0,390080.0,829920.0,641
Pendidikan,weekday,383944.42307692306,204650.0,586361.1023947598,93450.0,272800.0,1017750.0000000001,208
Pendidikan,weekend,356632.7083333333,230500.0,430590.1872313814,128000.0,384000.0,747800.0,96
Perjalanan,weekday,783556.625,621400.0,702593.1445169119,268300.0,1038695.0,1567360.0,136
Perjalanan,weekend,769012.9824561403,547700.0,640735.6060307472,273500.0,1123200.0,1457799.9999999998,57
Sewa & Cicilan,weekday,1376192.7083333333,1250200.0,768433.8487085332,695975.0,1891600.0,2603750.0,96
Sewa & Cicilan,weekend,1494060.606060606,1551600.0,613795.3429988868,1206200.0,1838500.0,2090760.0000000002,33
Tagihan Utilitas,weekday,359756.6477272727,95750.0,604285.2715630643,57550.0,386840.0,891280.0,352
Tagihan Utilitas,weekend,231293.19727891157,81100.0,502666.0004225502,48000.0,160000.0,406840.0,147
Transportasi,weekday,111446.17730496454,24000.0,216094.4767651119,8000.0,104800.0,325216.00000000006,705
Transportasi,weekend,98582.24806201551,31900.0,205301.74848739055,9500.0,80000.0,269464.0000000003,387
