period,category,total_amount,txn_count,avg_amount,risk_count,micro_count,year,month,risk_rate,micro_rate
2015-01-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,1,0.0,0.0
2015-02-01,Belanja & Lifestyle,3800.0,1.0,3800.0,0.0,1.0,2015,2,0.0,1.0
2015-03-01,Belanja & Lifestyle,32300.0,3.0,10766.666666666666,0.0,3.0,2015,3,0.0,1.0
2015-04-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,4,0.0,0.0
2015-05-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,5,0.0,0.0
2015-06-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,6,0.0,0.0
2015-07-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,7,0.0,0.0
2015-08-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,8,0.0,0.0
2015-09-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,9,0.0,0.0
2015-10-01,Belanja & Lifestyle,281010.0,1.0,281010.0,0.0,0.0,2015,10,0.0,0.0
2015-11-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2015,11,0.0,0.0
2015-12-01,Belanja & Lifestyle,51300.0,1.0,51300.0,0.0,1.0,2015,12,0.0,1.0
2016-01-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2016,1,0.0,0.0
2016-02-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2016,2,0.0,0.0
2016-03-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2016,3,0.0,0.0
2016-04-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2016,4,0.0,0.0
2016-05-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2016,5,0.0,0.0
2016-06-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2016,6,0.0,0.0
2016-07-01,Belanja & Lifestyle,2922240.0,3.0,974080.0,2.0,1.0,2016,7,0.6666666666666666,0.3333333333333333
2016-08-01,Belanja & Lifestyle,9320960.0,11.0,847360.0,7.0,1.0,2016,8,0.6363636363636364,0.09090909090909091
2016-09-01,Belanja & Lifestyle,4865440.0,8.0,608180.0,4.0,2.0,2016,9,0.5,0.25
2016-10-01,Belanja & Lifestyle,5579040.0,9.0,619893.3333333334,5.0,1.0,2016,10,0.5555555555555556,0.1111111111111111
2016-11-01,Belanja & Lifestyle,6349440.0,7.0,907062.8571428572,4.0,1.0,2016,11,0.5714285714285714,0.14285714285714285
2016-12-01,Belanja & Lifestyle,2288960.0,7.0,326994.28571428574,1.0,2.0,2016,12,0.14285714285714285,0.2857142857142857
2017-01-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2017,1,0.0,0.0
2017-02-01,Belanja & Lifestyle,94620.0,1.0,94620.0,0.0,1.0,2017,2,0.0,1.0
2017-03-01,Belanja & Lifestyle,0.0,0.0,0.0,0.0,0.0,2017,3,0.0,0.0
2017-04-01,Belanja & Lifestyle,6730559.0,14.0,480754.21428571426,5.0,3.0,2017,4,0.35714285714285715,0.21428571428571427
2017-05-01,Belanja & Lifestyle,5227970.0,11.0,475270.0,5.0,2.0,2017,5,0.45454545454545453,0.18181818181818182
2017-06-01,Belanja & Lifestyle,8989759.0,16.0,561859.9375,7.0,2.0,2017,6,0.4375,0.125
2017-07-01,Belanja & Lifestyle,4383010.0,12.0,365250.8333333333,4.0,3.0,2017,7,0.3333333333333333,0.25
2017-08-01,Belanja & Lifestyle,2578720.0,10.0,257872.0,2.0,4.0,2017,8,0.2,0.4
2017-09-01,Belanja & Lifestyle,3992200.0,10.0,399220.0,4.0,3.0,2017,9,0.4,0.3
